lexicon,word,homophones,mps,neighbors,length,numthatshareletter1,numthatshareletter2,numthatshareletter3,numthatshareletter4,numthatshareletter5
real,gly,0,1.0,1.0,3,230,18,1,0,0
real,vEt@r,0,2.0,2.0,5,178,20,2,1,1
real,dro,0,4.0,5.0,3,117,19,1,0,0
real,k&skad@,0,0.0,0.0,7,454,88,8,1,1
real,tYml@r,0,0.0,0.0,6,173,4,2,1,1
real,dre,0,1.0,3.0,3,117,19,1,0,0
real,krUst@,0,0.0,0.0,6,454,55,3,1,1
real,gElp,0,1.0,1.0,4,230,10,2,1,0
real,protEk=ion,0,0.0,0.0,10,212,38,12,2,2
real,filologi,0,0.0,0.0,8,257,10,4,2,1
real,pl&stIk,0,0.0,0.0,7,212,25,12,3,2
real,=aitUN,0,0.0,0.0,6,96,15,6,2,1
real,drOs@l,0,0.0,0.0,6,117,19,3,2,1
real,briz@,0,1.0,2.0,5,260,36,1,1,1
real,f&tal,0,0.0,0.0,5,257,21,1,1,1
real,g@Ste,0,1.0,2.0,5,230,71,15,5,1
real,SUp@,0,3.0,4.0,4,444,6,2,2,0
real,kOrelat,0,0.0,0.0,7,454,61,8,1,1
real,pOlt@rn,0,0.0,0.0,7,212,15,3,1,1
real,kOlek,0,0.0,0.0,5,454,61,5,2,1
real,pErvErs,0,0.0,0.0,7,212,19,9,1,1
real,total,0,0.0,0.0,5,173,9,2,1,1
real,bl&Nk,0,2.0,3.0,5,260,29,3,1,1
real,byn@,0,5.0,5.0,4,260,5,1,1,0
real,vImp@r,0,1.0,1.0,6,178,26,4,2,2
real,kUrb@l,0,0.0,0.0,6,454,22,5,1,1
real,Stau,0,5.0,9.0,4,444,127,14,3,0
real,Star,0,9.0,10.0,4,444,127,14,1,0
real,grOl,0,3.0,4.0,4,230,45,4,1,0
real,zOyx@,0,1.0,1.0,5,137,16,3,1,1
real,krag@,0,0.0,1.0,5,454,55,12,2,2
real,brUst,0,1.0,1.0,5,260,36,5,1,1
real,&N@r,0,1.0,2.0,4,129,7,3,1,0
real,m),0,6.0,8.0,2,249,6,0,0,0
real,haupt,0,0.0,1.0,5,203,36,8,1,1
real,vol,0,13.0,14.0,3,178,4,1,0,0
real,fErveg@n,0,0.0,0.0,8,257,49,35,6,2
real,&N@l,0,3.0,4.0,4,129,7,3,2,0
real,zINk,0,6.0,7.0,4,137,12,2,1,0
real,Stal,0,11.0,15.0,4,444,127,14,1,0
real,von,0,10.0,11.0,3,178,4,1,0,0
real,vImp@l,0,1.0,1.0,6,178,26,4,2,2
real,Sinbain,0,0.0,0.0,7,444,7,2,1,1
real,S&ft,0,5.0,7.0,4,444,17,3,1,0
real,In@h&lt,0,0.0,1.0,7,54,36,5,2,1
real,k&m,0,5.0,6.0,3,454,88,8,0,0
real,nY=,0,3.0,4.0,3,90,4,2,0,0
real,hEndikEp,0,0.0,0.0,8,203,27,2,1,1
real,yb@rSv&N,0,0.0,0.0,8,7,7,6,5,1
real,haub@,0,2.0,2.0,5,203,36,8,2,1
real,SpI=,0,4.0,5.0,4,444,65,4,1,0
real,kUm@r,0,4.0,4.0,5,454,22,3,1,1
real,er@,0,4.0,8.0,3,27,7,1,0,0
real,prES,0,3.0,3.0,4,212,38,6,1,0
real,+Y=@,0,3.0,3.0,4,27,1,1,1,0
real,k|d@r,0,2.0,2.0,5,454,4,1,1,1
real,g@nez,0,0.0,0.0,5,230,71,5,1,1
real,kraus,0,3.0,3.0,5,454,55,12,3,1
real,flora,0,0.0,0.0,5,257,41,2,1,1
real,klUmp,0,1.0,3.0,5,454,48,4,2,2
real,v&rUm,0,0.0,1.0,5,178,35,4,1,1
real,kraut,0,4.0,4.0,5,454,55,12,3,1
real,b/tx@r,0,0.0,0.0,6,260,2,1,1,1
real,Stul,0,8.0,8.0,4,444,127,7,1,0
real,mus@,0,3.0,4.0,4,249,7,2,1,0
real,modUs,0,0.0,0.0,5,249,26,4,1,1
real,h&lUNk@,0,0.0,0.0,7,203,37,9,1,1
real,hur@,0,1.0,1.0,4,203,9,1,1,0
real,lit@r,0,1.0,2.0,5,186,18,3,1,1
real,SrUm+,0,2.0,4.0,5,444,15,2,1,1
real,kraul,0,2.0,2.0,5,454,55,12,3,1
real,zOyf=,0,0.0,0.0,5,137,16,3,1,1
real,p&rtik@l,0,0.0,1.0,8,212,53,17,6,3
real,fjOrt,0,0.0,1.0,5,257,1,1,1,1
real,monitOr,0,0.0,0.0,7,249,26,9,1,1
real,g@vIt@r,0,0.0,0.0,7,230,71,9,4,1
real,trO+@n,0,0.0,0.0,6,173,53,11,2,1
real,zI=,0,9.0,9.0,3,137,12,1,0,0
real,SYs@l,0,1.0,1.0,5,444,9,1,1,1
real,+lYk,0,3.0,3.0,4,27,7,1,1,0
real,orion,0,0.0,0.0,5,30,4,2,1,1
real,Sm&xt,0,0.0,2.0,5,444,24,3,1,1
real,kYx@,0,0.0,0.0,4,454,5,1,1,0
real,kraiS,0,1.0,1.0,5,454,55,12,4,1
real,r&Nk@,0,0.0,4.0,5,161,23,3,2,1
real,b@Said@n,0,0.0,1.0,8,260,36,9,2,2
real,dau@rn,0,2.0,2.0,6,117,9,2,1,1
real,forfar,0,0.0,0.0,6,257,18,10,1,1
real,SnI=,0,2.0,2.0,4,444,22,1,1,0
real,krIp@,0,2.0,4.0,5,454,55,4,1,1
real,hof,0,5.0,5.0,3,203,10,1,0,0
real,StIm@,0,1.0,1.0,5,444,127,8,1,1
real,kOntinEnt,0,0.0,0.0,9,454,61,29,13,1
real,plait@,0,0.0,0.0,6,212,25,7,1,1
real,SOf|r,0,0.0,0.0,5,444,10,1,1,1
real,grIp@,0,3.0,4.0,5,230,45,4,1,1
real,hol,0,10.0,10.0,3,203,10,1,0,0
real,kn&k,0,4.0,4.0,4,454,32,6,1,0
real,rai=,0,9.0,10.0,4,161,32,14,1,0
real,far,0,19.0,20.0,3,257,26,1,0,0
real,lOymUnt,0,0.0,0.0,7,186,11,5,1,1
real,nOx,0,7.0,7.0,3,90,6,1,0,0
real,kn&p,0,5.0,6.0,4,454,32,6,1,0
real,&lb@rn,0,0.0,0.0,6,129,24,3,1,1
real,dUrx,0,1.0,1.0,4,117,10,3,2,0
real,polir,0,0.0,0.0,5,212,4,2,1,1
real,g@SEft,0,0.0,0.0,6,230,71,15,1,1
real,hox,0,3.0,3.0,3,203,10,1,0,0
real,traum,0,1.0,5.0,5,173,53,11,6,2
real,faig@,0,2.0,2.0,5,257,26,10,1,1
real,lam,0,8.0,11.0,3,186,42,2,0,0
real,mYrb@,0,0.0,1.0,5,249,9,3,1,1
real,zIr,0,9.0,9.0,3,137,12,1,0,0
real,lai,0,10.0,19.0,3,186,42,19,0,0
real,f&x,0,10.0,11.0,3,257,21,1,0,0
real,drOs,0,2.0,3.0,4,117,19,3,2,0
real,fEl,0,12.0,15.0,3,257,49,5,0,0
real,f&s,0,11.0,12.0,3,257,21,2,0,0
real,l&mpda,0,0.0,0.0,6,186,27,3,2,1
real,Erg@rn,0,0.0,0.0,6,68,20,4,1,1
real,&rS,0,2.0,5.0,3,129,19,1,0,0
real,ob@r,0,6.0,7.0,4,30,7,4,3,0
real,fEt,0,7.0,10.0,3,257,49,2,0,0
real,f&l,0,13.0,16.0,3,257,21,5,0,0
real,Snab@l,0,0.0,1.0,6,444,22,7,1,1
real,perifer,0,0.0,1.0,7,212,7,2,2,2
real,zIn,0,10.0,11.0,3,137,12,2,0,0
real,lau,0,13.0,23.0,3,186,42,13,0,0
real,baif&l,0,0.0,0.0,6,260,19,9,1,1
real,fau,0,16.0,20.0,3,257,26,4,0,0
real,haik@l,0,0.0,0.0,6,203,36,13,1,1
real,Str&m,0,3.0,5.0,5,444,127,33,5,2
real,&k=i@,0,0.0,0.0,5,129,10,3,2,1
real,kurios,0,0.0,0.0,6,454,10,4,3,1
real,&rk,0,3.0,7.0,3,129,19,3,0,0
real,Sem@n,0,1.0,1.0,5,444,4,3,2,1
real,&rm,0,3.0,6.0,3,129,19,3,0,0
real,Sn&ps,0,0.0,1.0,5,444,22,6,2,1
real,gul&S,0,0.0,0.0,5,230,3,1,1,1
real,f&N,0,7.0,7.0,3,257,21,1,0,0
real,fE=@n,0,0.0,0.0,5,257,49,1,1,1
real,kIrS,0,1.0,3.0,4,454,18,4,2,0
real,zIN,0,9.0,10.0,3,137,12,2,0,0
real,Spes@n,0,0.0,0.0,6,444,65,2,1,1
real,zE=,0,6.0,7.0,3,137,16,1,0,0
real,viz@,0,3.0,4.0,4,178,15,3,1,0
real,Sad@,0,4.0,6.0,4,444,22,3,2,0
real,ainfErSt&nd@n,0,0.0,0.0,13,89,41,28,5,1
real,fraigebIx,0,0.0,0.0,9,257,24,6,3,1
real,bIlIx,0,1.0,1.0,5,260,14,3,2,1
real,hEl@r,0,2.0,2.0,5,203,27,5,1,1
real,ErvIS,0,0.0,0.0,5,68,20,3,1,1
real,dUft@,0,0.0,1.0,5,117,10,2,2,1
real,v/lb,0,0.0,0.0,4,178,1,1,1,0
real,monumEnt,0,0.0,0.0,8,249,26,9,1,1
real,g@hab@,0,0.0,1.0,6,230,71,6,3,2
real,for,0,10.0,11.0,3,257,18,10,0,0
real,rIN,0,7.0,11.0,3,161,12,3,0,0
real,kOlb@n,0,0.0,0.0,6,454,61,5,1,1
real,p&rtitur,0,0.0,0.0,8,212,53,17,6,3
real,lUksUs,0,0.0,0.0,6,186,10,2,2,1
real,vita,0,1.0,2.0,4,178,15,1,1,0
real,rEktOr,0,1.0,1.0,6,161,13,2,1,1
real,bIlIg,0,1.0,1.0,5,260,14,3,2,1
real,myd@,0,4.0,5.0,4,249,6,1,1,0
real,urheb@r,0,0.0,0.0,7,13,10,1,1,1
real,&mbOs,0,0.0,0.0,5,129,7,1,1,1
real,m&gi,0,1.0,1.0,4,249,55,6,1,0
real,&ntip&ti,0,0.0,0.0,8,129,30,9,4,1
real,SpOrt,0,2.0,4.0,5,444,65,3,2,1
real,p&sif,0,1.0,1.0,5,212,53,8,2,1
real,mEnS,0,0.0,0.0,4,249,18,3,1,0
real,Indi=,0,0.0,0.0,5,54,36,6,1,1
real,vOlfr&m,0,0.0,0.0,7,178,10,6,2,1
real,var@,0,5.0,6.0,4,178,28,3,1,0
real,rOysp@rn,0,0.0,0.0,8,161,9,2,1,1
real,kug@l,0,1.0,1.0,5,454,10,1,1,1
real,Spaik,0,0.0,1.0,5,444,65,10,5,1
real,aim@r,0,2.0,2.0,5,89,41,1,1,1
real,prEri,0,0.0,0.0,5,212,38,6,1,1
real,kOnvEnt,0,0.0,0.0,7,454,61,29,3,2
real,k)z@,0,0.0,0.0,4,454,4,1,1,0
real,=Irp,0,0.0,0.0,4,96,8,1,1,0
real,rUnt,0,9.0,11.0,4,161,7,1,1,0
real,nOy,0,4.0,6.0,3,90,6,2,0,0
real,mOl,0,10.0,12.0,3,249,18,3,0,0
real,m&t,0,8.0,11.0,3,249,55,5,0,0
real,v)l,0,9.0,9.0,3,178,5,1,0,0
real,v)r,0,11.0,12.0,3,178,5,3,0,0
real,laid@r,0,1.0,3.0,6,186,42,19,2,1
real,ainf&lt,0,1.0,1.0,7,89,41,28,5,1
real,panIk,0,0.0,0.0,5,212,15,1,1,1
real,p&rfym,0,0.0,0.0,6,212,53,17,1,1
real,bon@,0,3.0,5.0,4,260,6,2,2,0
real,v&nIlj@,0,0.0,0.0,7,178,35,8,1,1
real,b&NkEt,0,0.0,0.0,6,260,35,5,3,1
real,Orkan,0,1.0,1.0,5,31,9,1,1,1
real,makt,0,0.0,0.0,4,249,26,2,1,0
real,SvirIx,0,0.0,0.0,6,444,37,1,1,1
real,raig@n,0,0.0,2.0,6,161,32,14,1,1
real,dOg@,0,0.0,0.0,4,117,11,2,1,0
real,fErSrob@n,0,0.0,0.0,9,257,49,35,4,1
real,Erob@rn,0,0.0,0.0,7,68,20,1,1,1
real,p&mflet,0,0.0,0.0,7,212,53,2,1,1
real,m&l=,0,4.0,5.0,4,249,55,1,1,0
real,fErdris,0,0.0,0.0,7,257,49,35,3,1
real,=IS,0,5.0,5.0,3,96,8,1,0,0
real,vEst,0,6.0,8.0,4,178,20,3,2,0
real,fat@r,0,6.0,6.0,5,257,26,2,1,1
real,brud@r,0,0.0,1.0,6,260,36,2,1,1
real,Svef@l,0,0.0,0.0,6,444,37,5,1,1
real,liga,0,1.0,2.0,4,186,18,2,1,0
real,flUNk@rn,0,0.0,0.0,8,257,41,1,1,1
real,Sv&r=,0,1.0,2.0,5,444,37,9,1,1
real,zOm@r,0,0.0,0.0,5,137,16,1,1,1
real,Saix,0,8.0,11.0,4,444,22,5,1,0
real,laip,0,8.0,10.0,4,186,42,19,1,0
real,z&rk,0,3.0,5.0,4,137,20,1,1,0
real,nit@,0,3.0,3.0,4,90,7,1,1,0
real,Str&N,0,3.0,3.0,5,444,127,33,5,1
real,=Yklon,0,0.0,0.0,6,96,5,2,1,1
real,lai@,0,9.0,14.0,4,186,42,19,2,0
real,kron@,0,0.0,0.0,5,454,55,4,1,1
real,gra=i@,0,0.0,0.0,6,230,45,13,1,1
real,brIl@,0,1.0,2.0,5,260,36,2,1,1
real,zat,0,10.0,11.0,3,137,24,2,0,0
real,=Elt,0,6.0,7.0,4,96,7,2,1,0
real,lait,0,12.0,19.0,4,186,42,19,2,0
real,=&+,0,4.0,4.0,3,96,7,2,0,0
real,SmEt@rn,0,0.0,0.0,7,444,24,4,1,1
real,bid@r,0,4.0,4.0,5,260,12,1,1,1
real,l/s,0,3.0,3.0,3,186,3,1,0,0
real,=El@,0,6.0,7.0,4,96,7,2,1,0
real,pauSal,0,0.0,0.0,6,212,15,3,1,1
real,kOnfEk=ion,0,0.0,0.0,10,454,61,29,5,2
real,hOrn,0,7.0,8.0,4,203,23,8,2,0
real,dENk,0,7.0,8.0,4,117,10,1,1,0
real,re,0,12.0,16.0,2,161,16,0,0,0
real,laid,0,8.0,10.0,4,186,42,19,2,0
real,+ail,0,10.0,12.0,4,27,6,3,2,0
real,hOrt,0,14.0,16.0,4,203,23,8,1,0
real,hEr=,0,6.0,8.0,4,203,27,7,2,0
real,Ulm@,0,0.0,0.0,4,24,1,1,1,0
real,hier&rxi,0,0.0,0.0,8,203,5,1,1,1
real,laim,0,9.0,12.0,4,186,42,19,1,0
real,l&NSpilpl&t@,0,0.0,0.0,12,186,27,3,1,1
real,&gav@,0,0.0,0.0,5,129,2,1,1,1
real,foto,0,0.0,0.0,4,257,18,4,4,0
real,tug@nt,0,1.0,1.0,6,173,6,1,1,1
real,linear,0,0.0,0.0,6,186,18,3,1,1
real,au@rOks@,0,0.0,0.0,8,89,22,2,1,1
real,fl&x,0,2.0,4.0,4,257,41,8,1,0
real,+aif,0,3.0,3.0,4,27,6,3,1,0
real,ausSUs,0,0.0,0.0,6,89,22,11,2,1
real,krem@l,0,0.0,0.0,6,454,55,6,2,1
real,m|r@,0,5.0,5.0,4,249,4,1,1,0
real,frOyd@,0,0.0,0.0,6,257,24,4,2,1
real,kau=ion,0,0.0,0.0,7,454,30,8,2,1
real,vOlf,0,3.0,4.0,4,178,10,6,2,0
real,l&so,0,1.0,2.0,4,186,27,4,1,0
real,bYk,0,5.0,6.0,3,260,9,4,0,0
real,bYf,0,1.0,1.0,3,260,9,2,0,0
real,fl&k,0,3.0,5.0,4,257,41,8,2,0
real,&nErbit@n,0,0.0,0.0,9,129,30,1,1,1
real,maist@ns,0,0.0,0.0,8,249,26,13,4,2
real,pINk,0,5.0,6.0,4,212,10,1,1,0
real,d&x,0,11.0,11.0,3,117,9,1,0,0
real,=Ex@,0,1.0,1.0,4,96,7,1,1,0
real,k/n,0,5.0,5.0,3,454,2,1,0,0
real,k&nt@,0,3.0,4.0,5,454,88,8,2,1
real,atm,0,0.0,2.0,3,89,3,1,0,0
real,tYmp@l,0,0.0,0.0,6,173,4,2,1,1
real,d&s,0,10.0,11.0,3,117,9,1,0,0
real,d&m,0,8.0,10.0,3,117,9,2,0,0
real,d&n,0,12.0,13.0,3,117,9,1,0,0
real,Oyl@,0,1.0,3.0,4,31,7,1,1,0
real,pl&st,0,0.0,3.0,5,212,25,12,3,2
real,zElb@r,0,1.0,1.0,6,137,16,3,1,1
real,&l&rm,0,0.0,0.0,5,129,24,1,1,1
real,hErp,0,4.0,5.0,4,203,27,7,2,0
real,venIx,0,0.0,0.0,5,178,16,3,1,1
real,kElt@r,0,1.0,3.0,6,454,19,5,1,1
real,=Yrn,0,1.0,1.0,4,96,5,1,1,0
real,bEl,0,6.0,7.0,3,260,9,1,0,0
real,frIst,0,0.0,0.0,5,257,24,2,1,1
real,kil,0,7.0,9.0,3,454,6,2,0,0
real,frIS,0,1.0,2.0,4,257,24,2,1,0
real,k&p&=it)t,0,0.0,0.0,9,454,88,12,1,1
real,fOlStEndIx,0,0.0,0.0,10,257,18,6,1,1
real,Espri,0,0.0,0.0,5,68,7,1,1,1
real,ausmEr=,0,0.0,0.0,7,89,22,11,1,1
real,Eks@,0,2.0,3.0,4,68,3,3,1,0
real,klIr,0,3.0,3.0,4,454,48,7,1,0
real,raiz,0,9.0,12.0,4,161,32,14,1,0
real,bEt,0,11.0,13.0,3,260,9,1,0,0
real,klIN,0,2.0,3.0,4,454,48,7,3,0
real,hOl=,0,1.0,1.0,4,203,23,3,1,0
real,zel@,0,3.0,3.0,4,137,13,2,1,0
real,knaif,0,0.0,0.0,5,454,32,4,2,1
real,trost,0,0.0,1.0,5,173,53,3,1,1
real,k&rt@,0,2.0,3.0,5,454,88,15,4,1
real,tor,0,11.0,12.0,3,173,9,1,0,0
real,g@vErb@,0,0.0,0.0,7,230,71,9,1,1
real,&gil,0,0.0,0.0,4,129,2,1,1,0
real,&nlai@n,0,0.0,0.0,7,129,30,2,1,1
real,tot,0,10.0,11.0,3,173,9,2,0,0
real,re&ktOr,0,0.0,0.0,7,161,16,1,1,1
real,lIft,0,5.0,5.0,4,186,13,1,1,0
real,Smir,0,6.0,9.0,4,444,24,5,2,0
real,tob,0,4.0,4.0,3,173,9,1,0,0
real,l&n=@r,0,1.0,2.0,6,186,27,5,2,2
real,=vib&k,0,0.0,0.0,6,96,19,2,2,1
real,h&S,0,8.0,9.0,3,203,37,2,0,0
real,trOt,0,7.0,7.0,4,173,53,11,1,0
real,SvEl,0,8.0,11.0,4,444,37,8,3,0
real,&ntEn@,0,0.0,0.0,6,129,30,9,1,1
real,leop&rt,0,0.0,0.0,7,186,21,1,1,1
real,rEmp,0,2.0,3.0,4,161,13,1,1,0
real,dain@,0,3.0,4.0,5,117,9,3,2,1
real,=ug&N,0,0.0,0.0,5,96,7,1,1,1
real,lUmp@n,0,1.0,2.0,6,186,10,2,2,1
real,gr|l,0,2.0,2.0,4,230,45,1,1,0
real,Stro,0,0.0,1.0,4,444,127,33,3,0
real,nYst@r,0,1.0,1.0,6,90,4,1,1,1
real,geg@nv&rt,0,0.0,0.0,9,230,10,4,4,4
real,trOm@l,0,0.0,0.0,6,173,53,11,2,1
real,b@veg,0,0.0,0.0,5,260,36,4,1,1
real,dividEnd@,0,0.0,0.0,9,117,15,1,1,1
real,feg@fOy@r,0,0.0,0.0,9,257,7,2,1,1
real,SpUk,0,4.0,4.0,4,444,65,2,1,0
real,orak@l,0,0.0,0.0,6,30,4,1,1,1
real,&lbUm,0,0.0,0.0,5,129,24,3,1,1
real,kUp@,0,6.0,8.0,4,454,22,3,2,0
real,mor&st,0,0.0,0.0,6,249,26,3,1,1
real,=Orn,0,4.0,4.0,4,96,7,1,1,0
real,hOyt@,0,2.0,2.0,5,203,23,5,1,1
real,kOlxOs,0,0.0,0.0,6,454,61,5,2,1
real,m)n@,0,2.0,2.0,4,249,6,1,1,0
real,g@SIk,0,1.0,1.0,5,230,71,15,2,1
real,hOlt,0,8.0,8.0,4,203,23,3,1,0
real,hErS,0,3.0,4.0,4,203,27,7,1,0
real,g@SIr,0,2.0,2.0,5,230,71,15,2,1
real,hIrt,0,6.0,6.0,4,203,14,4,1,0
real,Ordn,0,0.0,1.0,4,31,9,2,1,0
real,m)d@l,0,1.0,1.0,5,249,6,1,1,1
real,tret,0,1.0,1.0,4,173,53,1,1,0
real,&=ur,0,0.0,0.0,4,129,1,1,1,0
real,SlIf,0,6.0,7.0,4,444,42,9,1,0
real,En=ym,0,0.0,0.0,5,68,12,1,1,1
real,t&n,0,9.0,13.0,3,173,20,4,0,0
real,Institut,0,0.0,0.0,8,54,36,4,4,1
real,p&rat,0,2.0,4.0,5,212,53,17,1,1
real,ze,0,14.0,17.0,2,137,13,0,0,0
