)bR	ombres
bag	bagues
bagEt	baguettes
bagaR	bagarres
bagaZ	baguage
bagatEl	bagatelles
baj	bâilles
bak	bacs
bakle	bâclés
bakteRi	bactéries
bal	bals
bal(Rin	ballerines
bal)	ballons
bal@s	balances
balE	ballets
balEn	baleines
balad	ballades
balast	ballasts
baleje	balayés
balivERn	balivernes
baliz	balises
balk)	balcons
balo	bat-l'eau
banal	banals
banan	bananes
banjER	bannières
bas5	bassins
basine	bassines
bask	basques
baskEt	baskets
baskyl	bascules
bast	baste
bast)	bastons
bastid	bastides
bastij	bastilles
bat	battes
bat)	bâtons
batEm	baptêmes
batR	battre
bataR	bâtards
bataj	batailles
batiR	bâtirent
batifole	batifolé
bato	bateaux
baty	battus
bav	baves
bavaR	bavards
bavaRde	bavardé
bavyR	bavures
bay	bahuts
bazaR	bazars
baze	basés
bazilik	basiliques
bazuka	bazookas
beNe	baignés
beRE	bérets
bebe	bébés
beg5	béguins
begeje	bégayées
bejbi	baby
bekan	bécanes
bekas	bécasses
bekij	béquilles
bekon	bacon
bekote	bécotés
belje	béliers
ben5	bénins
benefis	bénéfices
benevOl	bénévoles
beniR	bénir
bese	baissés
bet)	bétons
betEl	bétel
betaj	bétails
betiz	bêtises
bezbol	baseball
beze	baisés
biGo	bingo
biS	biches
biZu	bijoux
bib(R)	biberons
bib(lo	bibelots
bibl	bibles
biblijotek	bibliothécaires
bid	bides
bid)	bidons
bidyl	bidules
biftEk	biftèques
bigORno	bigorneaux
bij	billes
bijE	billets
bijaR	billards
bikini	bikinis
bikoz	bicause
bil	bills
bil@	bilans
bildiG	buildings
bip	bips
bisEps	biceps
bisk8i	biscuits
bistRo	bistrots
bit	bytes
bitym	bitumes
biz)	bisons
bizaR	bizarres
biznEs	business
bizu	bizou
bizy	bizuts
bj5	biens
bj5to	bientôt
bj5v(ny	bienvenus
bjE	biais
bjER	bières
bjEl	bielles
bjOpsi	biopsies
bjo	bio
bl)	blonds
bl2	bleus
bl2E	bleuets
bl5de	blindés
bl9f	bluffs
bl@	blancs
blERo	blaireaux
blEd	bleds
blEm	blêmes
blOk	bloques
blOkos	blockhaus
blag	blagues
blak	blacks
blam	blâmes
blasfEm	blasphèmes
blaze	blasés
ble	blés
bleRe	blairé
blese	blessés
blesyR	blessures
blizaR	blizzards
bloke	bloqués
blokys	blocus
blotiR	blottirent
bluz	blues
bluz)	blousons
bo	bot
boEm	bohême
boa	boas
bobaR	bobards
bobin	bobines
bobo	bobos
bodo	bodo
boemj5	bohémiens
bof	beaufs
bokal	bocal
boku	beaucoup
bom	bôme
bon9R	bonheurs
bonE	bonnets
boniR	bonnir
bonys	bonus
bose	bossé
bosy	bossus
bot5	bottins
botin	bottines
bu	bouts
buR	bourres
buRZ	bourges
buRZwa	bourgeois
buRb)	bourbons
buRbje	bourbiers
buRd	bourdes
buRd)	bourdons
buRgmEstR	bourgmestres
buRo	bourreaux
buS	bush
buS)	bouchons
buZ	bouges
buZi	bougies
bud5	boudins
bude	boudés
buf	bouffes
buf)	bouffons
bufi	bouffis
bugR	bougres
bujiR	bouillir
bujwaR	bouilloires
buk	boucs
buk5	bouquins
buk@	boucan
bukl	boucles
bul	boulle
bul(vERse	bouleversés
bul(vaR	boulevards
bul)	boulons
bul@Ze	boulangers
bulo	bulot
bum	boums
bum(R@g	boomerang
bum9R	boomer
bunkER	bunkers
busOl	boussoles
buskyle	bousculés
but)	boutons
butEj	bouteilles
butik	boutiques
bwa	boit
bwaR	boire
bwajaR	boyards
bwajo	boyaux
bwas)	boissons
bwat	boîtes
bwe	bouées
by	bût
byREt	burettes
byRn	burnes
byRo	bureaux
byS	bûches
bydZE	budgets
byfE	buffets
byfl	buffles
byl	bulls
byl(t5	bulletins
byldozER	bulldozers
byst	bustes
byt	buttes
byt5	butins
d(bu	debout
d(d@	dedans
d(gRe	degrés
d(la	delà
d(m5	demains
d(m9R	demeures
d(m@d	demandes
d(mi	demis
d(nje	deniers
d(p8i	depuis
d(su	dessous
d(sy	dessus
d(v(niR	devenir
d(v5	devînt
d(v@se	devancés
d(vine	devinés
d(viz	devises
d(vwaR	devoirs
d)	dont
d)Z)	donjons
d)k	donc
d)pte	domptés
d2	deux
d2OR	dehors
d5	daims
d5d	dindes
d5d)	dindons
d5g	dingues
d8El	duels
d8o	duos
d9j	deuils
d@	dents
d@Re	denrées
d@Ze	dangers
d@ble	d'emblée
d@di	dandys
d@se	dansée
d@tEl	dentelles
dE	dès
dER	ders
dERjER	derrières
dERnje	derniers
dElta	deltas
dEs(le	déceler
dEs(vwaR	décevoir
dEt	dettes
dEt(niR	détenir
dEt(ny	détenue
dORlote	dorlotés
dORmiR	dormirent
dOk	docks
dOkt9R	docteurs
dOktRin	doctrines
dOltSe	dolce
dOn	donnes
dOp	dopes
dOt	dots
dR5	drains
dR8id	druides
dR9gstOR	drugstores
dROp	droppe
dRa	draps
dRaZe	dragées
dRag	dragues
dRag)	draguons
dRaj	dry
dRajv	drive
dRakm	drachmes
dRam	drames
dRapo	drapeaux
dRese	dressés
dRoge	drogués
dRol	drôles
dRon	drones
dRwa	droits
dZ9mp9R	jumper
dZEt	jets
dZOb	jobs
dZOgiG	joggings
dZak	jack
dZaz	jazz
dZin	jean
dZing9l	jingle
dZip	jeeps
da	da
daR	dards
dabOR	d'abord
dada	dadas
dag	dagues
daja	daya
dal	dalles
dam	dames
dane	damnés
dat	dattes
datSa	datchas
dav@taZ	davantage
de	dés
de@byle	déambulé
deNe	daigné
deRaje	déraillé
deRizj)	dérision
deRizwaR	dérisoires
deRobe	dérobés
deSE	déchets
deSe@s	déchéances
deSiRe	déchirés
deSiRyR	déchirures
deSik(te	déchiquetés
deSy	déchus
deZ9ne	déjeuné
debRi	débris
debaRa	débarras
debaRke	débarqués
debale	déballés
debine	débinés
deboS	débauches
debuRse	déboursées
debyske	débusqués
ded8iR	déduire
dedikas	dédicaces
dedje	dédiés
def1	défunts
def@s	défenses
defERle	déferlées
defi	défit
defisit	déficits
deg2las	dégueulasses
degERpiR	déguerpirent
degR5gole	dégringolés
degene	dégainer
degize	déguisés
degl5ge	déglingués
degome	dégommés
degote	dégotés
deguRdiR	dégourdir
deguline	dégouliné
degyste	dégustés
dekRete	décrétés
dekRiR	décrire
dekRoSe	décrochés
dekapite	décapités
dekl@Se	déclenchés
deklaRe	déclarés
dekline	déclinée
dekoRe	décorés
dekolaZ	décollages
dekone	déconné
dekuRaZe	découragés
dekuvERt	découvertes
del5k@s	délinquances
deliRe	déliré
delika	délicats
dem@s	démence
dem@t(le	démantelés
dem@ti	démentit
demaRaZ	démarrages
demne	démener
den)se	dénoncés
denigRe	dénigrés
dep(se	dépecés
dep@d@s	dépendances
depORte	déportés
depRave	dépravés
depane	dépannés
deploRe	déplorés
deplwaje	déployés
depotwaR	dépotoir
depuRvy	dépourvus
depuj	dépouilles
depyte	députés
des@bR	décembres
des@t	décentes
desE	décès
deseni	décennies
deside	décidés
desime	décimés
dest5	destins
destRwaje	destroyers
destine	destinés
detERZ@	détergents
detEkte	détectés
detR8iR	détruire
detRitys	détritus
detRwa	détroits
detaje	détaillés
detale	détalé
deteRe	déterrés
deteRjoRe	détériorés
dev(lope	développés
dev)	devon
devERg)de	dévergondés
devaste	dévastés
devje	déviés
devoRe	dévorés
dez5vOlt	désinvoltes
dezORmE	désormais
dezaRwa	désarrois
deziNe	désignés
deziR	désirs
dezole	désolés
diN	dignes
diR	dires
diREkt	directs
diRiZe	dirigés
diZeRe	digérés
difORm	difformes
difeRe	différés
difisil	difficiles
difyze	diffusés
dig	digues
diksjonER	dictionnaires
dikt)	dictons
diktatyR	dictatures
dikte	dictés
dil	deals
dil8e	dilués
dil9R	dealers
dilapide	dilapidées
dilate	dilatés
diliZ@s	diligences
dim@sj)	dimensions
dimin8e	diminués
din	dînes
dinaR	dinars
dinamit	dynamite
dinasti	dynasties
dinozoR	dinosaures
diplom	diplômes
diplomat	diplomates
dis8ade	dissuadés
disERne	discernées
disZ)kte	disjonctée
diseke	disséqués
disimyle	dissimulés
disipe	dissipés
disipl	disciples
disiplin	disciplines
disk	disques
diskylpe	disculpés
diskyte	discutés
disp@sER	dispensèrent
dispaRy	disparût
disponibl	disponibles
dispyte	disputés
dist5ge	distingués
distRib8e	distribués
distRikt	districts
distile	distillés
disudR	dissoudre
divERtiR	divertirent
divORs	divorces
diva	divas
divage	divagué
divize	divisés
divizj)	divisions
divylge	divulgués
dizEn	dizaines
dizajn	designs
dj2	dieux
djaRe	diarrhées
djabEt	diabètes
djadEm	diadèmes
djafRagm	diaphragmes
djagnostik	diagnostiques
djalEkt	dialectes
djaliz	dialyses
djalog	dialoguées
djamEtR	diamètre
djapo	diapos
djetetik	diététiques
djezEl	diesels
do	dos
doRe	dorés
dobERman	dobermans
dodo	dodos
dof5	dauphins
dokym@	documentés
dolaR	dollars
dom	dômes
domEn	domaines
domEstik	domestiques
domaZ	dommages
domine	dominés
domino	dominos
domisil	domiciles
done	donnés
dopamin	dopamine
dope	dopés
dosil	dociles
dosje	dossiers
du	doux
duS	douches
dubl	doubles
dublyR	doublures
duj	douilles
dujE	douillets
dul9R	douleurs
dut	doutes
dutSe	duces
duzEn	douzaines
dwa	doit
dwaj5	doyens
dwan	douanes
dwe	doués
dy	dût
dyR	durs
dyRj@	durian
dyk	ducs
dyka	ducats
dyn	dunes
dyp	dupes
dyvE	duvets
e)te	éhontés
eRabl(	érable
eRadike	éradiquée
eRaflyR	éraflures
eRezi	hérésies
eRiZe	érigés
eRite	hérités
eRo	héros
eRotism	érotiques
eRydi	érudits
eSEk	échecs
eSEl	échelles
eSaRp	écharpes
eSalOt	échalotes
eSape	échappés
eSe@s	échéances
eSin	échines
eSwe	échoués
eZEkte	éjectés
eZakyle	éjaculés
ebERZe	hébergés
ebR2	hébreux
ebR8ite	ébruitée
ebR@le	ébranlés
ebluiR	éblouirent
eboS	ébauches
ede	aider
edifis	édifices
edyke	éduqués
ef)dRe	effondrés
efE	effets
efEkt8e	effectués
efOR	efforts
efR)te	effrontés
efREje	effrayés
efRwa	effroi
efase	effacés
efemER	éphémères
efiZi	effigies
efikas	efficaces
efl9Re	effleurés
eg8ij	aiguilles
egRatiNyR	égratignures
egRi	aigrit
egaR	égares
egal	égales
egeje	égayer
egize	aiguisés
egliz	églises
ego	égaux
egoist	égoïstes
egu	égouts
egy	aiguës
ek8El	écuelles
ek8ije	écuyers
ek9Re	écoeurés
ekORSe	écorchés
ekORs	écorces
ekOl	écoles
ekR(vis	écrevisses
ekR@	écrans
ekRabuje	écrabouillés
ekRaze	écrasés
ekRiR	écrire
ekRito	écriteaux
ekRityR	écritures
ekRiv5	écrivains
ekRule	écroulés
ekaR	écarts
ekaj	écailles
ekilibR	équilibres
ekip	équipes
ekitabl	équitables
ekival@	équivalents
eklER	éclairs
ekla	éclats
eklips	éclipses
eklo	éclos
ekogRafi	échographie
ekonomi	économies
ekope	écopée
eksEl@	excellent
ekuRte	écourtés
ekule	écoulés
ekut	écoutes
ekutij	écoutilles
eky	écus
ekyR9j	écureuils
ekyRi	écuries
ekym	écumes
el@	élans
el@se	élancés
elEktRisite	électricité
elEv	élèves
elOZ	éloges
elaboRe	élaborés
elastik	élastiques
ele	hélés
eleg@s	élégances
eliR	élire
elikOptER	hélicoptères
eliksiR	élixirs
elimine	éliminés
elis	hélices
elit	élites
elje	ailiers
elok@s	éloquence
ely	élut
elyside	élucidés
em2t	émeutes
emERZe	émergés
emane	émanés
eme	aimés
emigRe	émigrés
emin@	éminents
emisj)	émissions
emuvwaR	émouvoir
emwa	émois
emy	émût
en)se	énoncés
enERZi	énergies
enERve	énervés
enORm	énormes
ene	henné
enigm	énigmes
ep(R)	éperons
ep(le	épelés
ep)Z	éponges
ep5gl	épingles
ep8ize	épuisés
epE	épais
epOk	époques
epR9v	épreuves
epR@dR	éprendre
epRuve	éprouvés
epaRN	épargnes
epaRpije	éparpillés
epanwiR	épanouirent
epate	épatés
epav	épaves
epe	épées
epesiR	épaissir
epi	épis
epidemi	épidémies
epilEpsi	épilepsie
epinaR	épinards
epise	épissé
epizOd	épisodes
epje	épiés
eplySe	épluchés
epol	épaules
epope	épopées
epu	époux
epuv@t	épouvantes
epuze	épousés
es8ije	essuyés
es@s	essences
es@sjEl	essentiels
esE	essais
eseje	essayez
est	est
et5	éteints
et5dR	éteindre
et5s(le	étincelé
et8i	étuis
et@	étends
et@S	étanches
et@dR	étendre
etER	éthers
etERn8e	éternué
etERnEl	éternels
etOf	étoffes
etR5dR	étreindre
etR5t	étreintes
etR@Z	étranges
etR@gle	étranglés
etRipe	étripés
etRwa	étroits
etaZ	étages
etaZER	étagères
etabliR	établirent
etale	étalés
etap	étapes
ete	étés
eteRo	hétéros
etiRe	étirés
etik	étiques
etikEt	étiquettes
etone	étonnés
etuRdiR	étourdirent
etufe	étouffés
etwal	étoiles
etyd	études
ev5se	évincés
ev@Zil	évangiles
ev@t8El	éventuels
ev@tRe	éventrés
ev@taj	éventails
evEj	éveils
evEk	évêques
evade	évadés
evak8e	évacués
eval8e	évalués
evanuiR	évanouir
evapoRe	évaporés
eveje	éveillés
evid@	évidents
evite	évités
evje	éviers
evoke	évoqués
evol8e	évolués
eze	aisés
ezite	hésité
f(mEl	femelles
f(nEtR	fenêtres
f(nuj	fenouil
f)	fonts
f)dR	fondre
f)de	fondés
f)dy	fondus
f)se	foncés
f)tEn	fontaines
f1k	funk
f2	feux
f2tR	feutres
f2z@	faisan
f5	fins
f5dR	feindre
f5t	feintes
f8iR	fuirent
f8ijaR	fuyards
f8it	fuites
f9j	feuilles
f9j(t)	feuilletons
f9nki	funky
f@dR	fendre
f@f@	fanfan
f@faR	fanfares
f@t	fentes
f@tasm	phantasmes
f@tastik	fantastiques
f@tezi	fantaisies
f@tom	fantômes
fE	faix
fER	fère
fERaj	ferrailles
fERi	ferry
fERm	fermes
fERm(te	fermeté
fERovjER	ferroviaires
fERtil	fertiles
fERv9R	ferveurs
fERv@	fervents
fEbl	faibles
fEn	faînes
fEso	faisceaux
fEst5	festins
fEstival	festivals
fEstwaje	festoyé
fEt	fêtes
fEv	fèves
fOR	forts
fORZ	forges
fORZ(R)	forgerons
fORfE	forfaits
fORm	formes
fORma	formats
fORmyl	formules
fORsa	forçât
fORse	forcés
fORt8i	fortuits
fORtiS	fortiches
fORtyn	fortunes
fOk	phoques
fOlk	folks
fOs	fosses
fOsfOR	phosphore
fOt	phot
fR(done	fredonnés
fR)	fronts
fR)d	frondes
fR)tjER	frontières
fR5	freins
fR5g	fringues
fR8i	fruits
fR@	francs
fR@SiR	franchirent
fR@Siz	franchises
fR@Z5	frangins
fR@bwaz	framboises
fRE	frets
fRER	frères
fRES9R	fraîcheurs
fREj9R	frayeurs
fREl	frêles
fREn	frênes
fREsk	fresques
fREze	fraiser
fROk	frocs
fRaZil	fragiles
fRagm@	fragments
fRaka	fracas
fRakase	fracassés
fRaktyR	fractures
fRap	frappes
fRaz	phrases
fReRo	frérots
fReje	frayée
fRek@	fréquents
fRemiR	frémirent
fRene	freinés
fRenezi	frénésies
fRiR	frire
fRiZidER	frigidaires
fRigo	frigos
fRij@diz	friandises
fRik	frics
fRikadEl	fricadelles
fRikote	fricoté
fRime	frimés
fRipuj	fripouilles
fRis)	frissons
fRisbi	frisbee
fRit	fritte
fRityR	fritures
fRivOl	frivoles
fRiz9R	friseur
fRize	frisés
fRod	fraudes
fRole	frôlés
fRomaZ	fromages
fRote	frottés
fRus	frousses
fRwa	froids
fRwase	froissés
fRystRe	frustrés
faR	phares
faRa)	pharaons
faRdo	fardeaux
faRf(ly	farfelus
faRfuje	farfouillé
faRin	farines
faRizj5	pharisiens
faRmasi	pharmacies
faRsiR	farcir
faRuS	farouches
faSe	fâchés
faSo	fachos
fabRik	fabriques
fad	fades
fada	fadas
fado	fado
faj	failles
fak	facs
fakse	faxés
fakt9R	facteurs
faktyR	factures
fakylte	facultés
fal@Z	phalanges
falEz	falaises
falsifje	falsifiés
falwaR	falloir
fam	femmes
famij	familles
famin	famines
fan	fans
fani	fanny
fas)	façons
fasad	façades
fasil	faciles
fasine	fascinés
fastOS	fastoche
fat	fats
fatig	fatigues
fav9R	faveurs
favela	favelas
favoRi	favoris
fe	fées
feROs	féroces
febliR	faiblir
fedeRal	fédérales
fek)de	fécondés
fele	fêlée
felisite	félicités
femin5	féminins
femyR	fémurs
fenomEn	phénomènes
fese	fessée
fetiS	fétiches
fetid	fétides
fetys	foetus
fevRije	février
fiRm	firmes
fiS	fiches
fiSy	fichus
fiZe	figés
fibR	fibres
fidEl	fidèles
fig	figues
figyR	figures
fij	filles
fij9l	filleuls
fij@saj	fiançailles
fiks	fixes
fil	fils
fil)	filons
filE	filets
filatyR	filatures
film	films
filozOf	philosophes
filtR	philtres
filu	filous
fin	fines
fin@s	phynances
final	finals
finiR	finirent
fis	fissent
fisEl	ficelles
fisa	fissa
fisk	fisc
fist)	fistons
fisyR	fissures
fizik	physiques
fj)	fions
fj@se	fiancés
fjER	fières
fjEf	fiefs
fjEl	fiel
fjEsta	fiestas
fjEvR	fièvres
fjORd	fjords
fjOl	fioles
fjakR	fiacres
fjasko	fiascos
fje	fiés
fjul	fuel
fl5g	flingues
fl8id	fluides
fl9R	fleurs
fl9Rt	flirts
fl9S	flush
fl9v	fleuves
fl@	flans
fl@Se	flanché
fl@ke	flanqués
flER	flaires
flES	flèches
flEksibl	flexibles
flOt	flottes
fla	flats
flaS	flashs
flak	flaques
flak)	flacons
flam	flammes
flam@	flamants
flamEnko	flamencos
flane	flâné
flask	flasques
flat(Ri	flatteries
fleR	flairés
fleSiR	fléchirent
fleo	fléaux
fletRiR	flétrirent
flik	flics
flip	flips
flo	flots
flok)	flocons
flu	flous
fly	flux
flyt	flûtes
fo	faux
foR5	forains
foRE	forêts
foROm	forums
foRe	forés
foSe	fauchés
fobi	phobies
fobuR	faubourgs
fofile	faufilés
fok)	faucons
foli	folies
fosER	faussaires
fose	fossés
fosil	fossiles
fot	fautes
fot9j	fauteuils
fotogRaf	photographes
fov	fauves
fu	fout
fuR	fours
fuRS	fourches
fuRb	fourbes
fuRg)	fourgons
fuRge	fourgués
fuRjER	fourrière
fuRmi	fourmis
fuRniR	fournirent
fuRno	fourneaux
fuRyR	fourrures
fudR	foudres
fug	fougues
fuj	fouilles
ful	fulls
fulaR	foulards
fut	foutes
futEz	foutaises
futR	foutre
futbOl	football
futwaR	foutoirs
futy	foutus
fw5	foins
fwE	fouets
fwa	fois
fwaR	foires
fwete	fouettés
fwin	fouines
fy	fûts
fyR)kl	furoncles
fyR9R	führers
fyRaks	furax
fyRi	furies
fyg	fugues
fyme	fumés
fymje	fumiez
fyn	fun
fynEbR	funèbres
fynEst	funestes
fyneRER	funéraires
fyneRaj	funérailles
fytil	futiles
fytyR	futurs
fyze	fusées
fyzi	fusils
fyzibl	fusibles
g)bo	gombos
g)dOl	gondoles
g)fle	gonflés
g)g	gongs
g5	gains
g9l	gueules
g9n	guns
g@g	gangues
g@gREn	gangrènes
g@gstER	gangsters
gE	guets
gER	guère
gEn	gaines
gEp	guêpes
gEto	ghettos
gORZ	gorges
gOldEn	goldens
gOlf	golfs
gOm	gommes
gOs	gosses
gR(d5	gredins
gR(lote	grelottée
gR(nad	grenades
gR(nje	greniers
gR(nuj	grenouilles
gR)de	grondés
gR5	grains
gR5p	grimpent
gR5se	grincé
gR@	grands
gR@Z	granges
gREf	greffes
gREk	grecs
gREl	grêles
gREn	grène
gREs	graisses
gREv	grèves
gROt	grottes
gRa	gras
gRabyZ	grabuge
gRad	grades
gRad5	gradins
gRafiti	graffitis
gRam	grammes
gRamER	grammaires
gRamofOn	gramophones
gRanit	granits
gRap	grappes
gRap5	grappins
gRat5	gratins
gRat8i	gratuits
gRatityd	gratitudes
gRatos	gratos
gRav	graves
gRaviR	gravirent
gRavyR	gravures
gRe	gré
gRefe	greffés
gRese	graisser
gRi	gris
gRiGo	gringo
gRiNote	grignotés
gRif	griffes
gRij	grilles
gRil	grils
gRimas	grimasse
gRin	greens
gRip	grippes
gRiv	grives
gRize	grisés
gRo	gros
gRoNe	grognées
gRotEsk	grotesques
gRozEj	groseilles
gRuje	grouillées
gRum	groume
gRup	groups
gRy	grues
gRyjER	gruyère
ga	ghât
gaNe	gagnés
gaR	gares
gaR@tiR	garantir
gaRd	gardes
gaRd)	gardons
gaRdj5	gardiens
gaRniR	garnirent
gaRniz)	garnisons
gaRo	garrots
gaRs)	garçons
gaSEt	gâchettes
gaSe	gâchés
gaSi	gâchis
gaZ	gages
gadZEt	gadgets
gaf	gaffes
gag	gags
gajaR	gaillards
gal	galles
gal)	galons
galE	galets
galEt	galettes
gala	galas
galaksi	galaxies
galo	galops
galope	galopé
gam	gammes
gam5	gamins
gamEl	gamelles
gama	gammas
gaspatSo	gazpacho
gaspije	gaspillés
gat(Ri	gâteries
gato	gâteaux
gave	gavés
gaz)	gazons
gazEl	gazelles
gaze	gazés
geRiR	guérir
geRija	guérillas
geRiz)	guérisons
geSa	geishas
gete	guettés
gi	gui
giNOl	guignols
giRl@d	guirlandes
giSE	guichets
gid	guides
gid)	guidons
gijotin	guillotines
gimov	guimauves
gine	guinées
gitaR	guitares
gl@	glands
gl@d	glandes
glEv	glaives
glEz	glaises
glOb	globes
glObyl	globules
gla	glas
gladjat9R	gladiateurs
glamuR	glamour
glane	glanés
glas)	glaçons
glis	glisses
gliseRin	glycérine
glok	glauques
glut)	gloutons
glwaR	gloires
glykoz	glucose
gnom	gnomes
go	goths
goRij	gorilles
goS	gauches
gobe	gobés
godas	godasses
gofR	gaufres
gogo	gogos
gol	goals
golwa	gaulois
gon	gone
gozje	gosiers
gu	goûts
guRd	gourdes
guRd5	gourdins
guRe	gourés
guRm@	gourmands
guRu	guru
guZa	goujats
gudR)	goudrons
gufR	gouffres
gut	goûtes
guvERne	gouvernés
gys	gusse
iNObl	ignobles
iNoRe	ignorés
iRis	iris
iRite	irrités
iRoni	ironies
iRsyt	hirsutes
iZjEn	hygiènes
ibRid	hybrides
ibu	hiboux
id@tite	identités
idEm	idem
idOl	idoles
idRolik	hydrauliques
ide	idées
idil	idylles
idjo	idiots
if	ifs
iglu	igloos
ik	hic
ikon	icônes
il	îles
iliko	illico
ilystR	illustres
ilyzj)	illusions
im@s	immenses
imERZe	immergés
imEn	hymen
imaZ	images
imaZine	imaginés
imakyle	immaculés
imam	imams
imedja	immédiats
imin@	imminents
imise	immiscée
imite	imités
imn	hymnes
imole	immolés
imynize	immunisés
in)de	inondés
inEpsi	inepties
inedi	inédits
inisjal	initiales
inisjativ	initiatives
inisje	initiés
inogyRe	inaugurés
inos@	innocents
inwi	inouïs
inyme	inhumés
ipi	hippy
ipnotize	hypnotisés
ipokRit	hypocrites
ipopotam	hippopotames
ipotEk	hypothèques
ipotEz	hypothèses
ise	hissés
isi	ici
islam	islam
isteRi	hystéries
istwaR	histoires
isy	issus
it	hits
itineRER	itinéraires
ivER	hivers
ivR	ivres
ivwaR	ivoires
izole	isolés
j@g	yang
jER	hier
jOd	iode
ja	ya
jaR	yards
jak	yaks
jauRt	yaourts
jeRaRSi	hiérarchies
jeRoglif	hiéroglyphes
joga	yoga
jupi	yuppies
jyan	yuans
k(REl	querelles
k)	cons
k)Z(le	congelés
k)Ze	congés
k)Zedje	congédiés
k)ZyRe	conjurés
k)Zygal	conjugales
k)ba	combats
k)bin	combines
k)bj5	combien
k)bl	combles
k)bystibl	combustibles
k)d8iR	conduire
k)dOR	condors
k)dane	condamnés
k)dole@s	condoléances
k)f)dR	confondre
k)f5	confins
k)fOR	conforts
k)fORm	conformes
k)fR)te	confrontés
k)fRER	confrères
k)fReRi	confréries
k)feRe	conférés
k)fese	confessés
k)feti	confettis
k)fiRme	confirmés
k)fid@	confidents
k)fine	confinés
k)fiske	confisqués
k)fityR	confitures
k)fje	confiés
k)fli	conflits
k)fy	confus
k)gRE	congrès
k)k)bR	concombres
k)kEt	conquêtes
k)kOkte	concoctés
k)kRE	concrets
k)klyzj)	conclusions
k)kuR	concourt
k)kuRiR	concourir
k)kyR@	concurrents
k)kyb5	concubins
k)p@se	compensés
k)pER	compères
k)pORte	comportés
k)pOt	compotes
k)pR@dR	comprendre
k)pREs	compresses
k)pRi	comprît
k)pRime	comprimés
k)pRomEtR	compromettre
k)pRomi	compromît
k)pa	compas
k)paN)	compagnons
k)paREtR	comparaître
k)paREz)	comparaisons
k)paRe	comparés
k)pakt	compacts
k)patRijOt	compatriotes
k)patiR	compatirent
k)patibl	compatibles
k)pet@	compétents
k)plE	complets
k)plEks	complexes
k)plete	complétés
k)plike	compliqués
k)plis	complices
k)plo	complots
k)poze	composés
k)s(vwaR	concevoir
k)s@tRe	concentrés
k)s@tiR	consentirent
k)sER	concerts
k)sERne	concernés
k)sERto	concertos
k)sERv	conserves
k)sEj	conseils
k)sEpt	concepts
k)sOl	consoles
k)sakRe	consacrés
k)sede	concédés
k)seje	conseillés
k)sek@	conséquents
k)si	concis
k)siN	consignes
k)sideRe	considérés
k)siste	consisté
k)sj@	conscients
k)sjERZ	concierges
k)sole	consolés
k)solide	consolidés
k)some	consommés
k)spiRe	conspiré
k)st@t	constantes
k)stR8iR	construire
k)sta	constats
k)stit8e	constitués
k)syl	consuls
k)syme	consumés
k)t	contes
k)t(Rakte	contracter
k)t(niR	contenir
k)t(ny	contenus
k)t@	contents
k)t@ple	contemplés
k)t@poR5	contemporains
k)tEkst	contextes
k)tEnER	container
k)tEste	contestés
k)tR	contres
k)tR5t	contraintes
k)tRER	contraires
k)tRa	contrats
k)tRaRje	contrariés
k)tRib8e	contribué
k)tRol	contrôles
k)tRovERs	controverses
k)taZj)	contagion
k)takt	contacts
k)tamine	contaminés
k)tin	comptines
k)tin8e	continués
k)tin@	continents
k)tiny	continus
k)tuR	contours
k)tuRne	contournés
k)twaR	comptoirs
k)tyzj)	contusions
k)v(n@s	convenances
k)v(niR	convenir
k)v5kR	convaincre
k)vERtiR	convertir
k)vales@s	convalescences
k)vje	conviés
k)voke	convoqués
k)vwa	convois
k)vwatiz	convoitises
k2	queues
k5kaj(Ri	quincailleries
k5t	quintes
k5zEn	quinzaines
k8iR	cuirs
k8iRas	cuirasses
k8ijER	cuillères
k8is)	cuissons
k8isto	cuistots
k8it	cuites
k8ivR	cuivres
k8izin	cuisines
k9R	coeurs
k9jiR	cueillirent
k@	quant
k@bRe	cambrés
k@bRus	cambrousses
k@d9R	candeurs
k@dida	candidats
k@didatyR	candidatures
k@guRu	kangourous
k@k@	cancans
k@paN	campagnes
k@pe	campés
k@piG	campings
k@pys	campus
k@sER	cancers
k@tik	cantiques
k@tin	cantines
k@tite	quantités
kE	quai
kEk	cakes
kElk	quelques
kElk)k	quelconques
kEs)	caissons
kEstjon	questionnés
kEt	quêtes
kEtS9p	ketchup
kOR	cors
kORbEj	corbeilles
kORbijaR	corbillards
kORbo	corbeaux
kORd	cordes
kORd)	cordons
kORn	cornes
kORn(myz	cornemuses
kORniS)	cornichons
kORsaZ	corsages
kORse	corsés
kORtEZ	cortèges
kORtEks	cortex
kORtizOn	cortisone
kORvEt	corvettes
kORve	corvées
kOS	coches
kOd	codes
kOfR	coffres
kOk	coques
kOk(liko	coquelicots
kOk(lyS	coqueluches
kOkpit	cockpit
kOktEl	cocktails
kOl	cols
kOlmate	colmatés
kOltine	coltinés
kOm	comme
kOn(Ri	conneries
kOsmonot	cosmonautes
kOstaR	costards
kOsto	costaux
kOstym	costumes
kOt	kot
kR(vEt	crevettes
kR(vas	crevasses
kR(ve	crevés
kR2ze	creusés
kR5dR	craindre
kR5t	craintes
kR@	crans
kR@p	crampes
kR@p)	crampons
kRE	crêt
kRENos	craignos
kRES	crèches
kREm	crèmes
kREp	crêpes
