Word	Match	Lexicality	Old20	Old20_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
:m:I:n::s:t:r:@:l	mInst@n@	N	2.85	0.4	7/10	63	213	_mIns[t@]n@s
:k:{::v:P	k{ft	N	1.8	0.15	2/3	-16	45	_k{[f]tr
:k:{::v:P	k{fQ	N	1.9	0.25	2/3	-23	55	_k{[fQ]
:k:{::v:P	k{fP	N	1.6	-0.05	5/6	-19	35	_k{[fP]_
:k:{::v:P	k{f{	N	1.9	0.25	2/3	-19	48	_k{f[{]
:k:{::v:P	k{fr	N	1.9	0.25	2/3	24	41	_k{[fr]I
:k:{::v:P	k{vQ	N	1.95	0.3	5/6	-25	41	_k{[vQ]
:k:{::v:P	k{v{	N	1.95	0.3	5/6	-19	38	_k{[v{]
:k:{::v:P	k{vr	N	1.95	0.3	5/6	-30	31	_k{[vr]I
:k:{::v:P	k{vE	N	1.95	0.3	5/6	49	53	_k{v[E]
:k:{::v:P	k{fE	N	1.9	0.25	2/3	49	67	_k{f[E]
:k:{::v:P	k{fs	N	1.85	0.2	2/3	-33	55	_k{[fs]t
:k:{::v:P	k{bQ	N	1.9	0.25	2/3	54	90	_k{[b]Q
:k:{::v:P	k{bP	N	1.4	-0.25	5/6	54	85	_k{[b]P_
:k:{::v:P	k{b{	N	1.9	0.25	2/3	54	78	_k{[b]{
:k:{::v:P	k{br	N	1.9	0.25	2/3	54	93	_k{[b]rI
:k:{::v:P	k{bE	N	1.9	0.25	2/3	54	118	_k{[b]E
:k:{::v:P	k{fI	N	1.5	-0.15	2/3	81	169	_k{[fI]N
:k:{::v:P	k{f3	N	1.9	0.25	2/3	-96	130	_k{f[3]
:k:{::v:P	k{f5	N	1.85	0.2	2/3	80	119	_k{f[5]
:k:{::v:P	k{f@	N	1.7	0.05	2/3	92	162	_k{f[@n]
:I:n::t:3:R	Int7R	N	1.95	0.2	6/7	-43	59	_In[t7]R_
:I:n::t:3:R	Int9R	N	1.95	0.2	6/7	-63	66	_In[t9]R_
:I:n::t:3:R	Int#R	N	1.95	0.2	6/7	-53	57	_In[t#]R_
:I:n::t:3:R	Intin	N	1.9	0.15	5/7	-98	153	_Inti[n]
:I:n::t:3:R	Int8R	N	1.95	0.2	6/7	-65	70	_In[t8]R_
:I:n::t:3:R	Int{n	N	1.9	0.15	5/7	-98	177	_Int{[n]
:I:n::t:3:R	IntVn	N	1.9	0.15	5/7	-98	178	_IntV[n]
:I:n::t:3:R	Intqn	N	1.9	0.15	5/7	-98	169	_Intq[n]
:I:n::t:3:R	Int6n	N	1.9	0.15	5/7	-98	185	_Int6[n]
:I:n::t:3:R	Int9n	N	1.9	0.15	5/7	-98	168	_Int9[n]
:I:n::t:3:R	Int2n	N	1.8	0.05	5/7	-98	172	_Int2[n]
:I:n::t:3:R	Intun	N	1.8	0.05	5/7	-98	159	_Intu[n]
:I:n::t:3:R	Int7n	N	1.9	0.15	5/7	-98	149	_Int7[n]
:I:n::t:3:R	Int1n	N	1.6	-0.15	5/7	-98	149	_Int1[n]
:I:n::t:3:R	Int#n	N	1.9	0.15	5/7	-98	167	_Int#[n]
:I:n::t:3:R	IntQn	N	1.9	0.15	5/7	-98	177	_IntQ[n]
:I:n::t:3:R	Intil	N	1.95	0.2	5/7	-256	292	_Inti[lI]
:I:n::t:3:R	Intit	N	1.95	0.2	5/7	-207	248	_Inti[t_]
:I:n::t:3:R	IntEn	N	1.75	0.0	5/7	189	304	_Int[En]
:I:n::t:3:R	IntEt	N	1.85	0.1	5/7	-207	247	_IntE[t_]
:p:U::l:I:t	p6lIt	N	1.8	0.2	6/7	-13	16	_[p6]lIt_
:p:U::l:I:t	p7lIt	N	1.8	0.2	6/7	29	45	_p[7]lIt_
:p:U::l:I:t	pslIt	N	1.8	0.2	6/7	-60	91	_p[s]lIt_
:p:U::l:I:t	p8lIt	N	1.85	0.25	6/7	43	71	_p[8]lIt_
:p:U::l:I:t	p4lIt	N	1.8	0.2	6/7	-35	48	_p[4]lIt_
:p:U::l:I:t	pSlIn	N	2.0	0.4	5/7	-109	245	_p[S]lIn_
:p:U::l:I:t	pSlIl	N	2.0	0.4	5/7	-114	305	_pSl[Il]I
:p:U::l:I:t	pSlIt	N	1.85	0.25	6/7	-109	142	_p[S]lIt_
:p:U::l:I:t	pUlIn	N	1.9	0.3	6/7	-96	103	_pUlI[n_]
:p:U::l:I:t	pUlIl	N	1.9	0.3	6/7	-114	163	_pUl[Il]I
:p:U::l:I:t	p6lIn	N	2.0	0.4	5/7	-96	119	_p6lI[n_]
:p:U::l:I:t	p6lIl	N	2.0	0.4	5/7	-114	179	_p6l[Il]I
:p:U::l:I:t	pslIn	N	2.0	0.4	5/7	-96	194	_pslI[n_]
:p:U::l:I:t	pslIl	N	2.0	0.4	5/7	-114	254	_psl[Il]I
:p:U::l:I:t	p8lIn	N	2.0	0.4	5/7	-96	174	_p8lI[n_]
:p:U::l:I:t	p8lIl	N	2.0	0.4	5/7	-114	234	_p8l[Il]I
:p:U::l:I:t	p4lIn	N	2.0	0.4	5/7	-96	151	_p4lI[n_]
:p:U::l:I:t	p4lIl	N	2.0	0.4	5/7	-114	211	_p4l[Il]I
:p:U::l:I:t	pflIn	N	2.0	0.4	5/7	-96	216	_pflI[n_]
:p:U::l:I:t	pflIt	N	1.8	0.2	6/7	-80	113	_p[f]lIt_
:k:#::n:I::v:P	k#nIgP	N	2.6	0.1	8/9	-13	15	_k#nI[gP]_
:k:#::n:I::v:P	k#dIgP	N	2.75	0.25	7/9	-26	59	_k#[dI]gP_
:k:#::n:I::v:P	k#dIgl	N	2.85	0.35	2/3	-26	78	_k#[dI]gl@
:k:#::n:I::v:P	k#dIgI	N	2.8	0.3	2/3	-30	89	_k#dIg[IN]
:k:#::n:I::v:P	k#dIvP	N	2.75	0.25	8/9	-26	44	_k#[dI]vP_
:k:#::n:I::v:P	k#dIvI	N	2.75	0.25	7/9	-30	96	_k#dIv[IN]
:k:#::n:I::v:P	k#nIgl	N	2.9	0.4	7/9	-23	34	_k#nIg[l@]
:k:#::n:I::v:P	k#nIgI	N	2.8	0.3	7/9	-30	45	_k#nIg[IN]
:k:#::n:I::v:P	k#nIvI	N	2.7	0.2	8/9	-30	52	_k#nIv[IN]
:k:#::n:I::v:P	k#rIgP	N	2.8	0.3	7/9	20	52	_k#[rI]gP_
:k:#::n:I::v:P	k#rIgl	N	2.95	0.45	2/3	-23	71	_k#rIg[l@]
:k:#::n:I::v:P	k#rIgI	N	2.95	0.45	2/3	-30	82	_k#rIg[IN]
:k:#::n:I::v:P	k#rIvP	N	2.65	0.15	8/9	20	37	_k#[rI]vP_
:k:#::n:I::v:P	k#rIvI	N	2.9	0.4	7/9	-30	89	_k#rIv[IN]
:k:#::n:I::v:P	k#dIg@	N	2.8	0.3	2/3	-38	118	_k#dIg[@s]
:k:#::n:I::v:P	k#dIg1	N	2.85	0.35	2/3	47	112	_k#dIg[1]
:k:#::n:I::v:P	k#dIp@	N	2.85	0.35	2/3	52	176	_k#dI[p]@s
:k:#::n:I::v:P	k#dIpI	N	2.8	0.3	2/3	-64	186	_k#dIp[Ik]
:k:#::n:I::v:P	k#dIpP	N	2.75	0.25	7/9	52	106	_k#dI[p]P_
:k:#::n:I::v:P	k#dIpl	N	2.9	0.4	2/3	52	136	_k#dI[p]l@
:{::k:j:U::m:@:n	{pIdm@n	N	2.95	0.15	7/10	-16	46	_{p[Id]m@n_
:{::k:j:U::m:@:n	{pItm@n	N	2.9	0.1	7/10	-16	50	_{p[It]m@n_
:{::k:j:U::m:@:n	{p@dm@n	N	3.3	0.5	7/10	-13	45	_{p[@d]m@n_
:{::k:j:U::m:@:n	{prVm@n	N	3.1	0.3	7/10	14	45	_{[pr]Vm@n_
:{::k:j:U::m:@:n	{kItm@n	N	2.9	0.1	4/5	-16	46	_{k[It]m@n_
:{::k:j:U::m:@:n	{kIdm@n	N	2.95	0.15	4/5	-16	42	_{k[Id]m@n_
:{::k:j:U::m:@:n	{k@dm@n	N	2.95	0.15	4/5	-16	40	_{[k@]dm@n_
:{::k:j:U::m:@:n	{krVm@n	N	2.85	0.05	4/5	-12	28	_{kr[V]m@n_
:{::k:j:U::m:@:n	{sItm@n	N	2.9	0.1	7/10	-16	39	_{s[It]m@n_
:{::k:j:U::m:@:n	{sIdm@n	N	3.0	0.2	7/10	-16	35	_{s[Id]m@n_
:{::k:j:U::m:@:n	{spVm@n	N	2.9	0.1	7/10	-13	33	_{s[pV]m@n_
:{::k:j:U::m:@:n	{pl8m@n	N	3.05	0.25	7/10	-26	107	_{pl[8]m@nI
:{::k:j:U::m:@:n	{pltm@n	N	2.9	0.1	7/10	-26	97	_{pltm@[nI]
:{::k:j:U::m:@:n	{plpm@n	N	3.05	0.25	7/10	-26	104	_{plpm@[nI]
:{::k:j:U::m:@:n	{plzm@n	N	2.85	0.05	7/10	-27	97	_{p[lz]m@nI
:{::k:j:U::m:@:n	{plVm@n	N	2.9	0.1	7/10	-26	88	_{plVm@[nI]
:{::k:j:U::m:@:n	{plUm@n	N	2.9	0.1	4/5	-28	86	_{p[lU]m@nI
:{::k:j:U::m:@:n	{pldm@n	N	2.95	0.15	7/10	-26	95	_{p[ld]m@nI
:{::k:j:U::m:@:n	{pl7m@n	N	3.15	0.35	7/10	-26	97	_{pl7m@[nI]
:{::k:j:U::m:@:n	{pl#m@n	N	2.95	0.15	7/10	-26	99	_{pl#m@[nI]
:h:2::i::n:@	h2$n@	N	2.3	-0.2	7/8	-8	14	_h2[_]n@m
:h:2::i::n:@	h2$ns	N	2.4	-0.1	3/4	-8	17	_h2[_]nsp
:h:2::i::n:@	h2ins	N	2.55	0.05	7/8	-6	7	_h2i[ns]p
:h:2::i::n:@	h2$mI	N	2.55	0.05	5/8	-12	34	_h2_[m]It
:h:2::i::n:@	h21n@	N	2.55	0.05	7/8	-16	23	_h2[1]n@_
:h:2::i::n:@	h21ns	N	2.6	0.1	3/4	-16	30	_h2[1]nsp
:h:2::i::n:@	h21mI	N	2.75	0.25	5/8	-16	51	_h2[1]mId
:h:2::i::n:@	h2Nn@	N	2.65	0.15	7/8	-10	23	_h2[N]n@m
:h:2::i::n:@	h2Nns	N	2.7	0.2	3/4	-10	26	_h2[N]nsp
:h:2::i::n:@	h2NmI	N	2.75	0.25	5/8	-12	47	_h2N[m]Id
:h:2::i::n:@	h2imI	N	2.6	0.1	3/4	-12	28	_h2i[m]Id
:h:2::i::n:@	h2ind	N	2.1	-0.4	7/8	24	47	_h2i[nd]5
:h:2::i::n:@	h2in2	N	2.8	0.3	7/8	-31	42	_h2i[n2]z
:h:2::i::n:@	h2imE	N	2.9	0.4	3/4	-31	58	_h2i[mE]d
:h:2::i::n:@	h2im{	N	2.95	0.45	3/4	-32	67	_h2im[{d]
:h:2::i::n:@	h2ikr	N	2.8	0.3	3/4	-31	58	_h2ik[rU]
:h:2::i::n:@	h2iks	N	2.55	0.05	3/4	-20	33	_h2i[k]sp
:h:2::i::n:@	h2ikI	N	2.0	-0.5	3/4	-31	54	_h2ik[Iz]
:h:2::i::n:@	h2ik1	N	2.75	0.25	3/4	-31	80	_h2i[k1]z
:h:2::i::n:@	h2ikt	N	2.55	0.05	3/4	-20	30	_h2i[k]t5
:S:V::v:P	S3vP	N	1.9	0.15	5/6	-6	10	_S[3]vP_
:S:V::v:P	S3ft	N	1.85	0.1	1/2	-16	55	_S3[f]tr
:S:V::v:P	SVft	N	1.65	-0.1	2/3	-16	45	_SV[f]tr
:S:V::v:P	S$vP	N	1.95	0.2	5/6	14	24	_S[_]vP_
:S:V::v:P	S$ft	N	1.85	0.1	1/2	-16	69	_S_[f]tr
:S:V::v:P	S3vQ	N	2.1	0.35	2/3	-25	51	_S3[vQ]
:S:V::v:P	S3v{	N	2.1	0.35	2/3	-19	48	_S3[v{]
:S:V::v:P	S3vr	N	2.1	0.35	2/3	-30	41	_S3[vr]I
:S:V::v:P	S3fQ	N	2.3	0.55	1/2	-23	65	_S3[fQ]
:S:V::v:P	S3fP	N	1.95	0.2	2/3	-19	45	_S3[fP]_
:S:V::v:P	S3f{	N	2.35	0.6	1/2	-19	58	_S3f[{]
:S:V::v:P	S3fr	N	2.35	0.6	1/2	24	51	_S3[fr]I
:S:V::v:P	SVvQ	N	2.0	0.25	5/6	-25	41	_SV[vQ]
:S:V::v:P	SVv{	N	2.0	0.25	5/6	-19	38	_SV[v{]
:S:V::v:P	SVvr	N	2.0	0.25	5/6	-30	31	_SV[vr]I
:S:V::v:P	SVfQ	N	1.95	0.2	2/3	-23	55	_SV[fQ]
:S:V::v:P	SVf{	N	1.95	0.2	2/3	-19	48	_SVf[{]
:S:V::v:P	SVfr	N	1.95	0.2	2/3	24	41	_SV[fr]I
:S:V::v:P	S$fQ	N	2.25	0.5	1/2	-23	79	_S_[fQ]
:S:V::v:P	S$fP	N	1.95	0.2	2/3	-19	59	_S_[fP]_
:s:k:I:p	sk{g	N	1.55	0.45	3/5	5	9	_sk{[g@]
:s:k:I:p	sksp	N	1.75	0.65	4/5	-6	11	_s[ks]p_
:s:k:I:p	sk{p	N	1.2	0.1	4/5	-12	14	_sk[{p]_
:s:k:I:p	skIs	N	1.45	0.35	4/5	14	27	_skI[sk]
:s:k:I:p	skwQ	N	1.75	0.65	3/5	-15	32	_sk[wQ]
:s:k:I:p	sIpQ	N	1.95	0.85	2/5	16	49	_s[Ip]Q
:s:k:I:p	sIdz	N	1.95	0.85	2/5	-13	39	_[sI]dzI
:s:k:I:p	sIts	N	1.65	0.55	2/5	14	38	_sIt[sk]
:s:k:I:p	skEf	N	1.65	0.55	3/5	-30	72	_sk[Ef]I
:s:k:I:p	skEs	N	1.85	0.75	3/5	-28	49	_s[kE]s@
:s:k:I:p	skEm	N	1.7	0.6	3/5	-31	86	_skE[m]
:s:k:I:p	skEg	N	1.85	0.75	3/5	-28	58	_s[kE]g@
:s:k:I:p	skEz	N	1.9	0.8	3/5	-30	66	_sk[Ez]I
:s:k:I:p	skEk	N	1.8	0.7	3/5	-28	53	_s[kE]kr
:s:k:I:p	skEb	N	1.85	0.75	3/5	-30	69	_sk[Eb]I
:s:k:I:p	skE_	N	1.75	0.65	3/5	-28	75	_s[kE]_I
:s:k:I:p	sk{f	N	1.55	0.45	3/5	-31	47	_sk[{f]I
:s:k:I:p	sk{s	N	1.75	0.65	3/5	-24	47	_sk[{s]@
:s:k:I:p	sk{m	N	1.45	0.35	3/5	-31	38	_sk{[m]
:s:k:I:p	sk{v	N	1.8	0.7	3/5	-30	59	_sk[{v]I
:s:k:I:t	skVn	N	1.4	0.45	3/5	16	33	_sk[Vn]
:s:k:I:t	sIpt	N	1.75	0.8	3/5	16	56	_s[Ip]t
:s:k:I:t	sIfr	N	1.95	1.0	2/5	-13	38	_[sI]fr@
:s:k:I:t	sItr	N	1.9	0.95	2/5	-13	26	_[sI]tr@
:s:k:I:t	sIdr	N	2.0	1.05	2/5	-13	35	_[sI]dr@
:s:k:I:t	skEl	N	1.4	0.45	3/5	-28	50	_s[kE]l@
:s:k:I:t	skEt	N	1.35	0.4	4/5	-28	44	_s[kE]t
:s:k:I:t	skEs	N	1.85	0.9	3/5	-30	74	_skE[sp]
:s:k:I:t	skEm	N	1.7	0.75	3/5	-28	42	_s[kE]mI
:s:k:I:t	sk{l	N	1.5	0.55	3/5	18	34	_sk{[l@]
:s:k:I:t	sk{s	N	1.75	0.8	3/5	-30	40	_sk{[sp]
:s:k:I:t	sk{m	N	1.45	0.5	3/5	21	26	_sk[{m]I
:s:k:I:t	skVs	N	1.65	0.7	3/5	-30	47	_skV[sp]
:s:k:I:t	skIs	N	1.45	0.5	4/5	-30	33	_skI[sp]
:s:k:I:t	sk1s	N	1.7	0.75	3/5	-30	54	_sk1[sp]
:s:k:I:t	sk1m	N	1.65	0.7	3/5	-22	29	_s[k1]mI
:s:k:I:t	skQt	N	1.1	0.15	4/5	-31	47	_s[kQ]t
:s:k:I:t	skQl	N	1.45	0.5	3/5	-31	64	_s[kQ]l@
:s:k:I:t	skQs	N	1.7	0.75	3/5	-31	83	_s[kQ]sp
:S:r:2:n	Sr5n	N	1.65	-0.05	4/5	4	5	_S[r5]n_
:S:r:2:n	Sr5k	N	1.8	0.1	3/5	4	10	_S[r5]kQ
:S:r:2:n	Sr2t	N	1.6	-0.1	4/5	6	9	_Sr[2t]P
:S:r:2:n	Srul	N	1.75	0.05	3/5	-13	19	_S[ru]l
:S:r:2:n	Sruf	N	1.8	0.1	3/5	-16	37	_Sr[uf]_
:S:r:2:n	Srus	N	1.85	0.15	3/5	-15	38	_Sru[si]
:S:r:2:n	Srup	N	1.65	-0.05	3/5	-13	26	_S[ru]pl
:S:r:2:n	Srum	N	1.75	0.05	3/5	-13	29	_S[ru]mE
:S:r:2:n	Srut	N	1.65	-0.05	3/5	-13	17	_S[ru]tP
:S:r:2:n	Srun	N	1.7	0.0	4/5	-16	35	_Sru[nQ]
:S:r:2:n	Sruz	N	1.7	0.0	3/5	16	37	_Sru[z@]
:S:r:2:n	Sru$	N	1.9	0.2	3/5	-13	25	_S[ru]_
:S:r:2:n	Sruk	N	1.8	0.1	3/5	-13	33	_S[ru]kw
:S:r:2:n	Sru_	N	1.9	0.2	3/5	-16	41	_Sr[u_]@
:S:r:2:n	Sr5l	N	1.7	0.0	3/5	-12	22	_Sr[5l]
:S:r:2:n	Sr5s	N	1.95	0.25	3/5	-15	32	_Sr5[si]
:S:r:2:n	Sr5p	N	1.85	0.15	3/5	-16	26	_Sr[5p]l
:S:r:2:n	Sr5t	N	1.85	0.15	3/5	-12	19	_Sr[5t]P
:S:r:2:n	Sr5$	N	2.0	0.3	3/5	-11	24	_Sr5[_]
:S:r:2:n	Sr5z	N	1.85	0.15	3/5	16	34	_Sr5[z@]
:s:k:I:m	sk{g	N	1.55	0.2	3/5	3	7	_sk[{g]r
:s:k:I:m	skIk	N	1.35	0.0	4/5	4	6	_sk[Ik]w
:s:k:I:m	sk{m	N	1.45	0.1	4/5	6	11	_sk[{m]E
:s:k:I:m	sksp	N	1.75	0.4	3/5	-14	26	_sks[pj]
:s:k:I:m	sksE	N	2.0	0.65	3/5	10	16	_sks[En]
:s:k:I:m	skVN	N	1.65	0.3	3/5	-16	39	_sk[VN]
:s:k:I:m	skVn	N	1.4	0.05	3/5	-13	21	_s[kV]nQ
:s:k:I:m	skIs	N	1.45	0.1	4/5	-12	18	_sk[Is]i
:s:k:I:m	skIN	N	1.1	-0.25	4/5	11	21	_sk[IN]
:s:k:I:m	sk{S	N	1.6	0.25	3/5	-11	21	_sk[{S]@
:s:k:I:m	sk{p	N	1.2	-0.15	3/5	-14	27	_sk{[pj]
:s:k:I:m	sk{N	N	1.8	0.45	3/5	-10	18	_sk{[N]
:s:k:I:m	sIp@	N	1.9	0.55	2/5	16	42	_s[Ip]@R
:s:k:I:m	sIpr	N	1.95	0.6	2/5	16	56	_s[Ip]rE
:s:k:I:m	sIf@	N	1.85	0.5	2/5	-14	36	_sI[f@]R
:s:k:I:m	sIfE	N	1.95	0.6	2/5	-13	34	_[sI]fEn
:s:k:I:m	sId@	N	1.9	0.55	2/5	-13	27	_[sI]d@R
:s:k:I:m	sIdz	N	1.95	0.6	2/5	-13	37	_[sI]dz
:s:k:I:m	sIg@	N	1.9	0.55	2/5	16	35	_s[Ig]@R
:s:k:I:m	sIgr	N	2.0	0.65	2/5	16	43	_s[Ig]rE
:s:k:I:l	sk{g	N	1.55	0.55	3/5	-4	7	_sk[{g]I
:s:k:I:l	skIk	N	1.35	0.35	4/5	-4	7	_skI[kQ]
:s:k:I:l	sksp	N	1.75	0.75	3/5	-6	7	_s[ks]pl
:s:k:I:l	sksE	N	2.0	1.0	3/5	-7	18	_sk[sE]n
:s:k:I:l	sksk	N	2.0	1.0	3/5	14	33	_sk[sk]w
:s:k:I:l	skVn	N	1.4	0.4	3/5	-13	20	_s[kV]nj
:s:k:I:l	sk{m	N	1.45	0.45	3/5	-12	15	_sk{[mE]
:s:k:I:l	sIp@	N	1.9	0.9	2/5	16	48	_s[Ip]@R
:s:k:I:l	sIpr	N	1.95	0.95	2/5	16	42	_s[Ip]rE
:s:k:I:l	sIfE	N	1.95	0.95	2/5	-13	30	_[sI]fEn
:s:k:I:l	sIts	N	1.65	0.65	2/5	-14	42	_sI[ts]2
:s:k:I:l	sIt@	N	1.8	0.8	2/5	-14	37	_sIt[@R]
:s:k:I:l	sIg@	N	1.9	0.9	2/5	16	55	_s[Ig]@R
:s:k:I:l	sIgr	N	2.0	1.0	2/5	16	37	_s[Ig]rE
:s:k:I:l	sId@	N	1.9	0.9	2/5	-14	47	_sId[@R]
:s:k:I:l	sIdz	N	1.95	0.95	2/5	-15	47	_sI[dz]@
:s:k:I:l	skEl	N	1.4	0.4	4/5	-28	72	_s[kE]l{
:s:k:I:n	sksk	N	2.0	0.9	3/5	-7	20	_sk[sk]w
:s:k:I:n	sk{k	N	1.6	0.5	3/5	11	20	_sk[{k]w
:s:k:I:n	sIp@	N	1.9	0.8	2/5	16	53	_s[Ip]@R
:s:k:I:n	sIpr	N	1.95	0.85	2/5	16	43	_s[Ip]rE
:s:k:I:n	sIf$	N	1.95	0.85	2/5	-13	35	_[sI]f_
:s:k:I:n	sIg$	N	2.0	0.9	2/5	16	45	_s[Ig]_
:s:k:I:n	skEn	N	1.6	0.5	4/5	-28	50	_s[kE]nQ
:s:k:I:n	skEs	N	1.85	0.75	3/5	-28	70	_s[kE]si
:s:k:I:n	sk{N	N	1.8	0.7	3/5	-22	43	_sk[{N]
:s:k:I:n	sk{m	N	1.45	0.35	3/5	-27	51	_sk{[m{]
:s:k:I:n	sk{g	N	1.55	0.45	3/5	-25	34	_sk[{g]I
:s:k:I:n	skIk	N	1.35	0.25	4/5	-30	54	_skI[k{]
:s:k:I:n	skIN	N	1.1	0.0	4/5	-19	36	_skI[N]
:s:k:I:n	skQs	N	1.7	0.6	3/5	-31	67	_s[kQ]si
:s:k:I:n	skQk	N	1.65	0.55	3/5	-31	85	_s[kQ]k{
:s:k:I:n	skuz	N	1.8	0.7	3/5	-31	69	_sk[uz]@
:s:k:I:n	sksI	N	1.8	0.7	3/5	-32	60	_sks[Ik]
