Language family,Language name,639-1,639-2/T,639-2/B,639-3,639-6
Niger–Congo,Ewe,ee,ewe,ewe,ewe,
Indo-European,Faroese,fo,fao,fao,fao,
Austronesian,Fijian,fj,fij,fij,fij,
Uralic,Finnish,fi,fin,fin,fin,
Indo-European,French,fr,fra,fre,fra,fras
Niger–Congo,Fula; Fulah; Pulaar; Pular,ff,ful,ful,ful + 9,
Indo-European,Galician,gl,glg,glg,glg,
South Caucasian,Georgian,ka,kat,geo,kat,
Indo-European,German,de,deu,ger,deu,deus
Indo-European,"Greek, Modern",el,ell,gre,ell,ells
Tupian,Guaraní,gn,grn,grn,grn + 5,
Indo-European,Gujarati,gu,guj,guj,guj,
Creole,Haitian; Haitian Creole,ht,hat,hat,hat,
Afro-Asiatic,Hausa,ha,hau,hau,hau,
Afro-Asiatic,Hebrew (modern),he,heb,heb,heb,
Niger–Congo,Herero,hz,her,her,her,
Indo-European,Hindi,hi,hin,hin,hin,hins
Austronesian,Hiri Motu,ho,hmo,hmo,hmo,
Uralic,Hungarian,hu,hun,hun,hun,
Constructed,Interlingua,ia,ina,ina,ina,
Austronesian,Indonesian,id,ind,ind,ind,
Constructed,Interlingue,ie,ile,ile,ile,
Indo-European,Irish,ga,gle,gle,gle,
Niger–Congo,Igbo,ig,ibo,ibo,ibo,
Eskimo–Aleut,Inupiaq,ik,ipk,ipk,ipk + 2,
Constructed,Ido,io,ido,ido,ido,idos
Indo-European,Icelandic,is,isl,ice,isl,
Indo-European,Italian,it,ita,ita,ita,itas
Eskimo–Aleut,Inuktitut,iu,iku,iku,iku + 2,
Japonic,Japanese,ja,jpn,jpn,jpn,
Austronesian,Javanese,jv,jav,jav,jav,
Eskimo–Aleut,"Kalaallisut, Greenlandic",kl,kal,kal,kal,
Dravidian,Kannada,kn,kan,kan,kan,
Nilo-Saharan,Kanuri,kr,kau,kau,kau + 3,
Indo-European,Kashmiri,ks,kas,kas,kas,
Turkic,Kazakh,kk,kaz,kaz,kaz,
Austroasiatic,Khmer,km,khm,khm,khm,
Niger–Congo,"Kikuyu, Gikuyu",ki,kik,kik,kik,
Niger–Congo,Kinyarwanda,rw,kin,kin,kin,
Turkic,Kyrgyz,ky,kir,kir,kir,
Uralic,Komi,kv,kom,kom,kom + 2,
Niger–Congo,Kongo,kg,kon,kon,kon + 3,
Koreanic,Korean,ko,kor,kor,kor,
Indo-European,Kurdish,ku,kur,kur,kur + 3,
Niger–Congo,"Kwanyama, Kuanyama",kj,kua,kua,kua,
Indo-European,Latin,la,lat,lat,lat,lats
Indo-European,"Luxembourgish, Letzeburgesch",lb,ltz,ltz,ltz,
Niger–Congo,Ganda,lg,lug,lug,lug,
Indo-European,"Limburgish, Limburgan, Limburger",li,lim,lim,lim,
Niger–Congo,Lingala,ln,lin,lin,lin,
Tai–Kadai,Lao,lo,lao,lao,lao,
Indo-European,Lithuanian,lt,lit,lit,lit,
Niger–Congo,Luba-Katanga,lu,lub,lub,lub,
Indo-European,Latvian,lv,lav,lav,lav + 2,
Indo-European,Manx,gv,glv,glv,glv,
Indo-European,Macedonian,mk,mkd,mac,mkd,
Austronesian,Malagasy,mg,mlg,mlg,mlg + 10,
Austronesian,Malay,ms,msa,may,msa + 13,
Dravidian,Malayalam,ml,mal,mal,mal,
Afro-Asiatic,Maltese,mt,mlt,mlt,mlt,
Austronesian,M_ori,mi,mri,mao,mri,
Indo-European,Marathi (Mar__h_),mr,mar,mar,mar,
Austronesian,Marshallese,mh,mah,mah,mah,
Mongolic,Mongolian,mn,mon,mon,mon + 2,
Austronesian,Nauru,na,nau,nau,nau,
Dené–Yeniseian,"Navajo, Navaho",nv,nav,nav,nav,
Indo-European,Norwegian Bokmål,nb,nob,nob,nob,
Niger–Congo,North Ndebele,nd,nde,nde,nde,
Indo-European,Nepali,ne,nep,nep,nep,
Niger–Congo,Ndonga,ng,ndo,ndo,ndo,
Indo-European,Norwegian Nynorsk,nn,nno,nno,nno,
Indo-European,Norwegian,no,nor,nor,nor + 2,
Sino-Tibetan,Nuosu,ii,iii,iii,iii,
Niger–Congo,South Ndebele,nr,nbl,nbl,nbl,
Indo-European,Occitan,oc,oci,oci,oci,
Algonquian,"Ojibwe, Ojibwa",oj,oji,oji,oji + 7,
Indo-European,"Old Church Slavonic, Church Slavonic, Old Bulgarian",cu,chu,chu,chu,
Afro-Asiatic,Oromo,om,orm,orm,orm + 4,
Indo-European,Oriya,or,ori,ori,ori,
Indo-European,"Ossetian, Ossetic",os,oss,oss,oss,
Indo-European,"Panjabi, Punjabi",pa,pan,pan,pan,
Indo-European,P_li,pi,pli,pli,pli,
Indo-European,Persian (Farsi),fa,fas,per,fas + 2,
Indo-European,Polish,pl,pol,pol,pol,pols
Indo-European,"Pashto, Pushto",ps,pus,pus,pus + 3,
Indo-European,Portuguese,pt,por,por,por,
Quechuan,Quechua,qu,que,que,que + 44,
Indo-European,Romansh,rm,roh,roh,roh,
Niger–Congo,Kirundi,rn,run,run,run,
Indo-European,Romanian,ro,ron,rum,ron,
Indo-European,Russian,ru,rus,rus,rus,
Indo-European,Sanskrit (Sa_sk_ta),sa,san,san,san,
Indo-European,Sardinian,sc,srd,srd,srd + 4,
Indo-European,Sindhi,sd,snd,snd,snd,
Uralic,Northern Sami,se,sme,sme,sme,
Austronesian,Samoan,sm,smo,smo,smo,
Creole,Sango,sg,sag,sag,sag,
Indo-European,Serbian,sr,srp,srp,srp,
Indo-European,Scottish Gaelic; Gaelic,gd,gla,gla,gla,
Niger–Congo,Shona,sn,sna,sna,sna,
Indo-European,"Sinhala, Sinhalese",si,sin,sin,sin,
Indo-European,Slovak,sk,slk,slo,slk,
Indo-European,Slovene,sl,slv,slv,slv,
Afro-Asiatic,Somali,so,som,som,som,
Niger–Congo,Southern Sotho,st,sot,sot,sot,
Indo-European,Spanish; Castilian,es,spa,spa,spa,
Austronesian,Sundanese,su,sun,sun,sun,
Niger–Congo,Swahili,sw,swa,swa,swa + 2,
Niger–Congo,Swati,ss,ssw,ssw,ssw,
Indo-European,Swedish,sv,swe,swe,swe,
Dravidian,Tamil,ta,tam,tam,tam,
Dravidian,Telugu,te,tel,tel,tel,
Indo-European,Tajik,tg,tgk,tgk,tgk,
Tai–Kadai,Thai,th,tha,tha,tha,
Afro-Asiatic,Tigrinya,ti,tir,tir,tir,
Sino-Tibetan,"Tibetan Standard, Tibetan, Central",bo,bod,tib,bod,
Turkic,Turkmen,tk,tuk,tuk,tuk,
Austronesian,Tagalog,tl,tgl,tgl,tgl,
Niger–Congo,Tswana,tn,tsn,tsn,tsn,
Austronesian,Tonga (Tonga Islands),to,ton,ton,ton,
Turkic,Turkish,tr,tur,tur,tur,
Niger–Congo,Tsonga,ts,tso,tso,tso,
Turkic,Tatar,tt,tat,tat,tat,
Niger–Congo,Twi,tw,twi,twi,twi,
Austronesian,Tahitian,ty,tah,tah,tah,
Turkic,"Uyghur, Uighur",ug,uig,uig,uig,
Indo-European,Ukrainian,uk,ukr,ukr,ukr,
Indo-European,Urdu,ur,urd,urd,urd,
Turkic,Uzbek,uz,uzb,uzb,uzb + 2,
Niger–Congo,Venda,ve,ven,ven,ven,
Austroasiatic,Vietnamese,vi,vie,vie,vie,
Constructed,Volapük,vo,vol,vol,vol,
Indo-European,Walloon,wa,wln,wln,wln,
Indo-European,Welsh,cy,cym,wel,cym,
Niger–Congo,Wolof,wo,wol,wol,wol,
Indo-European,Western Frisian,fy,fry,fry,fry,
Niger–Congo,Xhosa,xh,xho,xho,xho,
Indo-European,Yiddish,yi,yid,yid,yid + 2,
Niger–Congo,Yoruba,yo,yor,yor,yor,
Tai–Kadai,"Zhuang, Chuang",za,zha,zha,zha + 16,
Niger–Congo,Zulu,zu,zul,zul,zul,
